Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
Putative esterase sll0410 (EC 3.1.-.-),sll0410,Q55116,Y410_SYNY3,,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],166,4,4,4,21.7,18.873,0,9.8772,518910000,46,0.4956246,0.4510028,0.3943374,0.4171374,0.3192272,0.28605
Putative thylakoid lumen peptidyl-prolyl cis-trans isomerase sll0408 (Putative thylakoid lumen PPIase) (EC 5.2.1.8) (Putative thylakoid lumen rotamase),sll0408,Q55118,PPI3_SYNY3,,thylakoid lumen [GO:0031977],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],peptidyl-prolyl cis-trans isomerase activity [GO:0003755];thylakoid lumen [GO:0031977],379,26,26,26,66,41.385,0,323.31,14250000000,535,6.455734,6.27115,5.95706,6.713704,5.474466,4.45738
Elongation factor P (EF-P),efp slr0434,Q55119,EFP_SYNY3,,cytoplasm [GO:0005737],translation elongation factor activity [GO:0003746],cytoplasm [GO:0005737];translation elongation factor activity [GO:0003746],187,7,7,7,45.5,20.406,0,122.32,6801700000,148,5.94316,5.06172,4.659796,4.253978,5.427664,5.589966
Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB,Q55120,Q55120_SYNY3,fatty acid biosynthetic process [GO:0006633],acetyl-CoA carboxylase complex [GO:0009317],acetyl-CoA carboxylase activity [GO:0003989],acetyl-CoA carboxylase activity [GO:0003989];acetyl-CoA carboxylase complex [GO:0009317];fatty acid biosynthetic process [GO:0006633],154,6,6,6,43.5,16.313,0,99.501,930100000,60,1.2066422,1.0750136,1.361746,1.42927,1.0573206,0.823968
Uncharacterized protein slr0436,slr0436,Q55121,Y436_SYNY3,,,,,297,6,6,6,29,32.296,0,6.8063,323550000,20,0.10897506,0.10200568,0.12698838,0.10976122,0.15314672,0.18271054
Glycolate oxidase subunit GlcD,glcD,Q55124,Q55124_SYNY3,,glycolate oxidase complex [GO:0009339],flavin adenine dinucleotide binding [GO:0050660];glycolate oxidase activity [GO:0008891],flavin adenine dinucleotide binding [GO:0050660];glycolate oxidase activity [GO:0008891];glycolate oxidase complex [GO:0009339],492,8,8,8,22.2,53.032,0,47.795,677640000,121,0.255711,0.2456964,0.2219928,0.223925,0.265415,0.241143
Slr0439 protein,slr0439,Q55127,Q55127_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],501,4,4,4,12.6,54.61,0,3.2706,208230000,13,0.0649478,0.0652646,0.05008848,0.0551111,0.08964526,0.07045588
Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A),aspC sll0402,Q55128,AAT_SYNY3,biosynthetic process [GO:0009058],cytoplasm [GO:0005737],L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069];L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130];pyridoxal phosphate binding [GO:0030170],biosynthetic process [GO:0009058];cytoplasm [GO:0005737];L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069];L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130];pyridoxal phosphate binding [GO:0030170],389,18,18,18,56.8,42.352,0,323.31,4806900000,372,1.840924,1.952886,1.933438,2.014298,1.83333,2.034698
Uncharacterized protein sll0400 (EC 3.1.3.-),sll0400,Q55129,Y400_SYNY3,,cytoplasm [GO:0005737],protein histidine phosphatase activity [GO:0101006],cytoplasm [GO:0005737];protein histidine phosphatase activity [GO:0101006],164,3,3,3,32.9,18.27,0,21.938,277630000,20,0.5570474,0.533554,0.4043788,0.455443,0.3780692,0.2884996
Slr0440 protein,slr0440,Q55130,Q55130_SYNY3,,,,,267,4,4,4,25.5,30.336,0,19.608,210790000,45,0.14496348,0.1097161,0.08678044,0.11362518,0.10226832,0.08491362
Slr0049 protein,slr0049,Q55131,Q55131_SYNY3,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],398,10,10,10,31.2,44.058,0,211.75,6104200000,215,3.403616,3.144968,2.542326,2.750022,2.792112,2.609604
Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),rnz slr0050,Q55132,RNZ_SYNY3,,,3'-tRNA processing endoribonuclease activity [GO:0042781];metal ion binding [GO:0046872],3'-tRNA processing endoribonuclease activity [GO:0042781];metal ion binding [GO:0046872],326,7,7,7,28.8,36.122,0,129.49,843380000,122,0.3342916,0.3648752,0.3771222,0.3990426,0.4281426,0.4807472
Sll0072 protein,sll0072,Q55133,Q55133_SYNY3,protein folding [GO:0006457],,sequence-specific DNA binding [GO:0043565],protein folding [GO:0006457];sequence-specific DNA binding [GO:0043565],227,2,2,2,11,25.799,0,5.1622,92632000,13,0.10005562,0.06995192,0.04443922,0.06841078,0.04437244,0.046007425
Sll0071 protein,sll0071,Q55134,Q55134_SYNY3,,,"transferase activity, transferring glycosyl groups [GO:0016757]","transferase activity, transferring glycosyl groups [GO:0016757]",333,6,6,6,22.2,38,0,37.618,507600000,94,0.2610288,0.2636988,0.2747746,0.3179302,0.3105774,0.2532876
Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase),purU sll0070,Q55135,PURU_SYNY3,'de novo' IMP biosynthetic process [GO:0006189];one-carbon metabolic process [GO:0006730],,"formyltetrahydrofolate deformylase activity [GO:0008864];hydroxymethyl-, formyl- and related transferase activity [GO:0016742]","'de novo' IMP biosynthetic process [GO:0006189];formyltetrahydrofolate deformylase activity [GO:0008864];hydroxymethyl-, formyl- and related transferase activity [GO:0016742];one-carbon metabolic process [GO:0006730]",284,7,7,7,31.3,32.634,0,29.629,184080000,37,0.098170775,0.11419078,0.15719376,0.14952838,0.09812492,0.0899593
Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),icfA,Q55136,Q55136_SYNY3,carbon utilization [GO:0015976],outer membrane-bounded periplasmic space [GO:0030288],carbonate dehydratase activity [GO:0004089];zinc ion binding [GO:0008270],carbon utilization [GO:0015976];carbonate dehydratase activity [GO:0004089];outer membrane-bounded periplasmic space [GO:0030288];zinc ion binding [GO:0008270],263,7,7,7,47.9,27.89,0,146.34,805850000,133,0.6843052,0.7332288,0.547301,0.5871914,0.4808058,0.541344
Sll0069 protein,sll0069,Q55137,Q55137_SYNY3,,,,,256,4,4,4,16.8,28.901,0,20.281,546690000,77,0.2531618,0.2221446,0.235875,0.2547876,0.291622,0.3043224
Sll0068 protein,sll0068,Q55138,Q55138_SYNY3,,,,,1239,17,17,17,16.2,137.82,0,41.096,426270000,61,0.05103368,0.06066172,0.04917098,0.05219122,0.04786884,0.0516871
Glutathione S-transferase,gst,Q55139,Q55139_SYNY3,,,transferase activity [GO:0016740],transferase activity [GO:0016740],184,7,7,7,40.8,20.377,0,57.959,2766200000,115,2.279974,2.061572,1.910938,2.025472,1.6249114,1.429728
Sll0066 protein,sll0066,Q55140,Q55140_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],315,8,8,8,36.2,34.168,0,120.44,649310000,87,0.5999872,0.565369,0.4136592,0.4111844,0.4664598,0.495381
Acetolactate synthase small subunit (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS),ilvH ilvN sll0065,Q55141,ILVH_SYNY3,isoleucine biosynthetic process [GO:0009097];valine biosynthetic process [GO:0009099],acetolactate synthase complex [GO:0005948];cytosol [GO:0005829],acetolactate synthase activity [GO:0003984],acetolactate synthase activity [GO:0003984];acetolactate synthase complex [GO:0005948];cytosol [GO:0005829];isoleucine biosynthetic process [GO:0009097];valine biosynthetic process [GO:0009099],172,12,12,12,73.3,18.871,0,323.31,7618900000,237,4.575824,5.545098,5.25836,5.79858,5.534938,6.118506
Anthranilate synthase component II,trpG,Q55144,Q55144_SYNY3,tryptophan biosynthetic process [GO:0000162],anthranilate synthase complex [GO:0005950],,anthranilate synthase complex [GO:0005950];tryptophan biosynthetic process [GO:0000162],163,4,4,4,52.1,17.86,0,31.536,481310000,80,0.2645996,0.2871994,0.3722226,0.3809156,0.3084298,0.3250908
Sll0064 protein,sll0064,Q55146,Q55146_SYNY3,,outer membrane-bounded periplasmic space [GO:0030288],,outer membrane-bounded periplasmic space [GO:0030288],275,6,6,6,40.4,30.177,0,59.581,1405600000,94,0.7055966,0.9425618,0.9511606,0.977213,0.913302,0.8105204
Chaperone protein dnaK1 (HSP70-1) (Heat shock 70 kDa protein 1) (Heat shock protein 70-1),dnaK1 sll0058,Q55154,DNAK1_SYNY3,protein folding [GO:0006457],,ATP binding [GO:0005524];unfolded protein binding [GO:0051082],ATP binding [GO:0005524];protein folding [GO:0006457];unfolded protein binding [GO:0051082],692,29,29,29,43.2,75.178,0,323.31,12031000000,440,2.575958,2.782498,2.855602,2.443694,2.845414,2.95892
General secretion pathway protein E,gspE,Q55155,Q55155_SYNY3,,,,,672,32,32,32,60,75.111,0,323.31,7897100000,523,2.292198,1.908778,1.543828,1.428398,1.727548,1.697514
Putative RNA methyltransferase slr0064 (EC 2.1.1.-),slr0064,Q55156,Y064_SYNY3,tRNA methylation [GO:0030488],,RNA binding [GO:0003723];tRNA (guanine) methyltransferase activity [GO:0016423],RNA binding [GO:0003723];tRNA (guanine) methyltransferase activity [GO:0016423];tRNA methylation [GO:0030488],384,2,2,2,7.3,43.002,0,10.774,202070000,11,0.0364381,0.02920135,0.028397733,0.022308433,0.165415025,0.17085454
Slr0065 protein,slr0065,Q55157,Q55157_SYNY3,,,,,212,2,2,2,15.6,23.616,0,40.958,278500000,54,0.2202126,0.2068926,0.1858106,0.1638324,0.1906488,0.1691276
Processing protease,sll0055,Q55159,Q55159_SYNY3,,,metal ion binding [GO:0046872];metalloendopeptidase activity [GO:0004222],metal ion binding [GO:0046872];metalloendopeptidase activity [GO:0004222],428,8,8,8,20.3,48.117,0,22.908,315240000,70,0.0978787,0.1223454,0.1477756,0.110861144,0.161819746,0.17671392
Biotin carboxylase,accC,Q55160,Q55160_SYNY3,,,ATP binding [GO:0005524];biotin carboxylase activity [GO:0004075];metal ion binding [GO:0046872],ATP binding [GO:0005524];biotin carboxylase activity [GO:0004075];metal ion binding [GO:0046872],448,12,12,12,43.5,49.164,0,200.67,2766700000,249,0.8460406,0.9217978,0.910907,0.9255892,0.8886264,0.890754
Sll0051 protein,sll0051,Q55162,Q55162_SYNY3,tRNA wobble adenosine to inosine editing [GO:0002100],,catalytic activity [GO:0003824],catalytic activity [GO:0003824];tRNA wobble adenosine to inosine editing [GO:0002100],159,4,4,4,44,17.799,0,36.413,725000000,55,0.6349284,0.67236,0.6213198,0.7399262,0.5317872,0.3841372
Methionyl-tRNA formyltransferase (EC 2.1.2.9),fmt slr0070,Q55163,FMT_SYNY3,,,methionyl-tRNA formyltransferase activity [GO:0004479],methionyl-tRNA formyltransferase activity [GO:0004479],330,4,4,4,21.2,35.941,0,39.756,297230000,75,0.1174257,0.13177922,0.1538214,0.1758988,0.14368662,0.137333
Conserved component of ABC transporter for natural amino acids,natA,Q55164,Q55164_SYNY3,,,ATP binding [GO:0005524];ATPase activity [GO:0016887],ATP binding [GO:0005524];ATPase activity [GO:0016887],267,5,5,5,24.7,29.062,0,39.407,416620000,58,0.2303006,0.2555958,0.2081866,0.2322816,0.2251482,0.2677562
Slr0468 protein,slr0468,Q55165,Q55165_SYNY3,,,,,436,11,11,11,36.7,51.302,0,64.961,301790000,75,0.0617902,0.09747018,0.10715792,0.12120108,0.0865758,0.05652104
Gamma-glutamyl phosphate reductase 2 (GPR 2) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase 2) (Glutamyl-gamma-semialdehyde dehydrogenase 2) (GSA dehydrogenase 2),proA2 sll0461,Q55167,PROA2_SYNY3,L-proline biosynthetic process [GO:0055129],cytoplasm [GO:0005737],glutamate-5-semialdehyde dehydrogenase activity [GO:0004350];NADP binding [GO:0050661],cytoplasm [GO:0005737];glutamate-5-semialdehyde dehydrogenase activity [GO:0004350];L-proline biosynthetic process [GO:0055129];NADP binding [GO:0050661],420,14,14,14,34.8,45.772,0,161.38,2315000000,174,1.1494648,0.9306362,0.6760822,0.7966316,0.7645296,0.7281228
Phytochrome-like protein cph1 (EC 2.7.13.3) (Bacteriophytochrome cph1) (Light-regulated histidine kinase 1),cph1 slr0473,Q55168,PHY1_SYNY3,"detection of visible light [GO:0009584];protein autophosphorylation [GO:0046777];protein-chromophore linkage [GO:0018298];red, far-red light phototransduction [GO:0009585];regulation of transcription, DNA-templated [GO:0006355];response to red or far red light [GO:0009639]",intracellular [GO:0005622],ATP binding [GO:0005524];identical protein binding [GO:0042802];phosphorelay sensor kinase activity [GO:0000155];protein histidine kinase activity [GO:0004673];red or far-red light photoreceptor activity [GO:0009883],"ATP binding [GO:0005524];detection of visible light [GO:0009584];identical protein binding [GO:0042802];intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155];protein autophosphorylation [GO:0046777];protein histidine kinase activity [GO:0004673];protein-chromophore linkage [GO:0018298];red or far-red light photoreceptor activity [GO:0009883];red, far-red light phototransduction [GO:0009585];regulation of transcription, DNA-templated [GO:0006355];response to red or far red light [GO:0009639]",748,5,5,5,10,84.232,0,9.7331,80547000,18,0.009681837,0.007679265,0.01791926,0.017952475,0.01661687,0.024458198
UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B),uvrB sll0459,Q55170,UVRB_SYNY3,nucleotide-excision repair [GO:0006289];SOS response [GO:0009432],cytoplasm [GO:0005737],ATP binding [GO:0005524];DNA binding [GO:0003677];excinuclease ABC activity [GO:0009381],ATP binding [GO:0005524];cytoplasm [GO:0005737];DNA binding [GO:0003677];excinuclease ABC activity [GO:0009381];nucleotide-excision repair [GO:0006289];SOS response [GO:0009432],669,14,14,14,28.4,76.848,0,33.194,786870000,46,0.1305764,0.12378872,0.1396708,0.12179666,0.13333712,0.136183
Slr0476 protein,slr0476,Q55171,Q55171_SYNY3,,,,,136,7,7,7,46.3,14.394,0,323.31,4309900000,198,5.35278,4.253486,3.6537,3.805284,4.512068,5.389962
Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART),purN,Q55172,Q55172_SYNY3,'de novo' IMP biosynthetic process [GO:0006189],,phosphoribosylglycinamide formyltransferase activity [GO:0004644],'de novo' IMP biosynthetic process [GO:0006189];phosphoribosylglycinamide formyltransferase activity [GO:0004644],217,5,5,5,22.6,23.538,0,181.5,1050600000,99,0.6203574,0.6044276,0.6458598,0.685997,0.7324838,0.7750834
Ycf46 protein,ycf46,Q55174,Q55174_SYNY3,,,ATP binding [GO:0005524],ATP binding [GO:0005524],499,15,15,15,38.1,55.974,0,85.18,763860000,92,0.1524578,0.1690122,0.1876522,0.18280474,0.2160824,0.2305048
Slr0483 protein,slr0483,Q55176,Q55176_SYNY3,,integral component of membrane [GO:0016021];thylakoid [GO:0009579],,integral component of membrane [GO:0016021];thylakoid [GO:0009579],149,8,8,8,28.9,16.885,0,323.31,13208000000,222,16.58788,15.382208,17.02068,17.24432,15.89724,13.12564
Sensory transduction histidine kinase,slr0484,Q55177,Q55177_SYNY3,,intracellular [GO:0005622],phosphorelay sensor kinase activity [GO:0000155],intracellular [GO:0005622];phosphorelay sensor kinase activity [GO:0000155],675,17,17,17,30.4,75.884,0,110.91,1286900000,134,0.2820874,0.362513,0.2962282,0.2846954,0.3233384,0.2474596
Sll0456 protein,sll0456,Q55184,Q55184_SYNY3,,,catalytic activity [GO:0003824];coenzyme binding [GO:0050662],catalytic activity [GO:0003824];coenzyme binding [GO:0050662],333,7,7,7,22.2,37.436,0,146.29,1108700000,143,0.6421486,0.5884718,0.5415122,0.6376356,0.6330642,0.4459328
Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),pheS sll0454,Q55187,SYFA_SYNY3,phenylalanyl-tRNA aminoacylation [GO:0006432],cytoplasm [GO:0005737],ATP binding [GO:0005524];metal ion binding [GO:0046872];phenylalanine-tRNA ligase activity [GO:0004826];tRNA binding [GO:0000049],ATP binding [GO:0005524];cytoplasm [GO:0005737];metal ion binding [GO:0046872];phenylalanine-tRNA ligase activity [GO:0004826];phenylalanyl-tRNA aminoacylation [GO:0006432];tRNA binding [GO:0000049],331,15,15,15,47.4,37.124,0,94.558,3457600000,192,1.0842014,1.3844012,1.4043428,1.651912,1.7540224,1.689168
Sll0691 protein,sll0691,Q55188,Q55188_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],200,2,2,2,14.5,22.401,0,6.5338,569580000,50,1.410988,1.0701538,0.8232902,1.192986,1.0533122,0.9875518
High-affinity Na(+)/H(+) antiporter NhaS3 (Sodium/proton antiporter NhaS3),nhaS3 sll0689,Q55190,NHAS3_SYNY3,sodium ion transport [GO:0006814],integral component of membrane [GO:0016021];thylakoid membrane [GO:0042651],solute:proton antiporter activity [GO:0015299],integral component of membrane [GO:0016021];sodium ion transport [GO:0006814];solute:proton antiporter activity [GO:0015299];thylakoid membrane [GO:0042651],461,3,3,3,7.6,47.871,0,110.6,1275300000,54,0.6504606,0.647252,0.8977604,1.0109416,0.9066258,0.714225
Phosphate import ATP-binding protein PstB 2 (EC 3.6.3.27) (ABC phosphate transporter 2) (Phosphate-transporting ATPase 2),pstB2 sll0684,Q55195,PSTB2_SYNY3,,plasma membrane [GO:0005886],ATP binding [GO:0005524];ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415];inorganic phosphate transmembrane transporter activity [GO:0005315],ATP binding [GO:0005524];ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415];inorganic phosphate transmembrane transporter activity [GO:0005315];plasma membrane [GO:0005886],266,21,17,17,82,29.244,0,323.31,4422900000,108,0.021519333,1.341838433,1.379811473,0.95000716,1.737356125,4.6497391
Phosphate import ATP-binding protein PstB 1 (EC 3.6.3.27) (ABC phosphate transporter 1) (Phosphate-transporting ATPase 1),pstB1 sll0683,Q55196,PSTB1_SYNY3,,plasma membrane [GO:0005886],ATP binding [GO:0005524];ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415];inorganic phosphate transmembrane transporter activity [GO:0005315],ATP binding [GO:0005524];ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415];inorganic phosphate transmembrane transporter activity [GO:0005315];plasma membrane [GO:0005886],269,22,22,18,74.7,30.21,0,323.31,5680300000,162,0.0444595,1.0923584,1.59578102,1.00837134,2.34919695,5.77689926
Phosphate-binding protein,pstS,Q55199,Q55199_SYNY3,phosphate ion transmembrane transport [GO:0035435],ATP-binding cassette (ABC) transporter complex [GO:0043190],phosphate ion binding [GO:0042301],ATP-binding cassette (ABC) transporter complex [GO:0043190];phosphate ion binding [GO:0042301];phosphate ion transmembrane transport [GO:0035435],383,16,16,16,62.1,40.023,0,323.31,23875000000,317,3.250132,8.56703,10.013236,8.375138,10.600882,28.537232
Protein SphX,sphX sll0679,Q55200,SPHX_SYNY3,phosphate ion transport [GO:0006817],,phosphate ion binding [GO:0042301],phosphate ion binding [GO:0042301];phosphate ion transport [GO:0006817],336,15,15,15,53,36.778,0,214.95,1630600000,69,0.09769045,0.8122313,1.24209355,0.28337156,0.538387693,1.8329526
Slr0719 protein,slr0719,Q55201,Q55201_SYNY3,,,,,388,15,15,15,45.6,42.301,0,323.31,2402200000,215,0.932388,1.0826398,1.2103104,1.1604062,1.3483624,1.462426
Protein DrgA,drgA slr1719,Q55233,DRGA_SYNY3,response to herbicide [GO:0009635],,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491];response to herbicide [GO:0009635],210,10,10,10,45.2,23.703,0,323.31,10091000000,228,6.402562,6.188728,6.972772,6.44599,7.489256,8.657268
Nitrogen regulatory protein P-II (PII signal transducing protein),glnB ssl0707,Q55247,GLNB_SYNY3,"regulation of nitrogen utilization [GO:0006808];regulation of transcription, DNA-templated [GO:0006355];transcription, DNA-templated [GO:0006351]",,enzyme regulator activity [GO:0030234];nucleotide binding [GO:0000166],"enzyme regulator activity [GO:0030234];nucleotide binding [GO:0000166];regulation of nitrogen utilization [GO:0006808];regulation of transcription, DNA-templated [GO:0006355];transcription, DNA-templated [GO:0006351]",112,13,13,13,91.1,12.397,0,323.31,55021000000,450,88.64576,83.82892,74.09066,77.17424,83.20214,79.70498
Ferredoxin--NADP reductase (FNR) (EC 1.18.1.2),petH slr1643,Q55318,FENR_SYNY3,,phycobilisome [GO:0030089],ferredoxin-NADP+ reductase activity [GO:0004324],ferredoxin-NADP+ reductase activity [GO:0004324];phycobilisome [GO:0030089],413,34,34,34,88.1,46.359,0,323.31,95162000000,1008,30.6056,29.8375,25.3717,23.62844,25.85478,24.07606
Photosystem II 12 kDa extrinsic protein (PS II complex 12 kDa extrinsic protein) (PSII-U),psbU sll1194,Q55332,PSBU_SYNY3,oxidation-reduction process [GO:0055114];photosynthesis [GO:0015979];photosystem II stabilization [GO:0042549],extrinsic component of membrane [GO:0019898];photosystem II oxygen evolving complex [GO:0009654];plasma membrane-derived thylakoid photosystem II [GO:0030096],,extrinsic component of membrane [GO:0019898];oxidation-reduction process [GO:0055114];photosynthesis [GO:0015979];photosystem II oxygen evolving complex [GO:0009654];photosystem II stabilization [GO:0042549];plasma membrane-derived thylakoid photosystem II [GO:0030096],131,10,10,10,64.1,14.245,0,236.77,4448600000,147,8.277744,7.909396,6.578592,7.61373,5.801366,4.236834
Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2),purT slr0861,Q55336,PURT_SYNY3,'de novo' IMP biosynthetic process [GO:0006189],,ATP binding [GO:0005524];magnesium ion binding [GO:0000287];phosphoribosylglycinamide formyltransferase activity [GO:0004644],ATP binding [GO:0005524];'de novo' IMP biosynthetic process [GO:0006189];magnesium ion binding [GO:0000287];phosphoribosylglycinamide formyltransferase activity [GO:0004644],391,16,16,16,49.9,42.424,0,105.75,1487700000,166,0.6655622,0.5758502,0.591736,0.5265644,0.507899,0.4646806
Photosystem II reaction center Psb28 protein (Photosystem II 13 kDa protein) (Photosystem II reaction center W protein),psb28 psbW sll1398,Q55356,PSB28_SYNY3,photosynthesis [GO:0015979],photosystem II oxygen evolving complex [GO:0009654];plasma membrane-derived thylakoid photosystem II [GO:0030096],,photosynthesis [GO:0015979];photosystem II oxygen evolving complex [GO:0009654];plasma membrane-derived thylakoid photosystem II [GO:0030096],112,5,5,5,56.2,12.59,0,141.72,5141300000,150,7.77567,6.622126,4.904594,5.443048,5.499128,4.555768
Sll0887 protein,sll0887,Q55361,Q55361_SYNY3,,,metallopeptidase activity [GO:0008237],metallopeptidase activity [GO:0008237],446,20,20,20,57,47.599,0,323.31,3286700000,314,1.2732356,1.246246,1.255474,1.1743912,1.217124,1.1967298
Sll0886 protein,sll0886,Q55362,Q55362_SYNY3,,,,,279,2,2,2,16.1,30.962,0,76.548,270380000,43,0.18162548,0.19162612,0.1950666,0.19538584,0.12070562,0.14601855
Ferredoxin--nitrite reductase,nirA,Q55366,Q55366_SYNY3,,,"4 iron, 4 sulfur cluster binding [GO:0051539];heme binding [GO:0020037];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491]","4 iron, 4 sulfur cluster binding [GO:0051539];heme binding [GO:0020037];metal ion binding [GO:0046872];oxidoreductase activity [GO:0016491]",502,34,34,34,77.5,55.926,0,323.31,15693000000,573,3.784382,3.730924,3.357022,3.459934,3.571114,3.094346
Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase),cynS slr0899,Q55367,CYNS_SYNY3,cyanate metabolic process [GO:0009439],,cyanate hydratase activity [GO:0008824];sequence-specific DNA binding [GO:0043565],cyanate hydratase activity [GO:0008824];cyanate metabolic process [GO:0009439];sequence-specific DNA binding [GO:0043565],149,3,3,3,32.2,16.532,0,13.013,1077000000,52,0.8629654,0.8916748,1.0103202,1.0057918,1.0579244,0.9594914
Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1),moeA slr0900,Q55368,MOEA_SYNY3,molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315];molybdopterin cofactor biosynthetic process [GO:0032324];Mo-molybdopterin cofactor biosynthetic process [GO:0006777],cytoplasm [GO:0005737],metal ion binding [GO:0046872];molybdopterin adenylyltransferase activity [GO:0061598];molybdopterin molybdotransferase activity [GO:0061599],cytoplasm [GO:0005737];metal ion binding [GO:0046872];molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315];molybdopterin adenylyltransferase activity [GO:0061598];molybdopterin cofactor biosynthetic process [GO:0032324];molybdopterin molybdotransferase activity [GO:0061599];Mo-molybdopterin cofactor biosynthetic process [GO:0006777],390,5,5,5,16.9,43.393,0,9.2874,319420000,48,0.1259667,0.1332548,0.1261204,0.12213378,0.13533016,0.11984876
Molybdenum cofactor biosynthesis bifunctional protein [Includes: Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C);Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)],moaC/mobA slr0902,Q55370,MOCBA_SYNY3,Mo-molybdopterin cofactor biosynthetic process [GO:0006777],cytoplasm [GO:0005737],cyclic pyranopterin monophosphate synthase activity [GO:0061799];GTP binding [GO:0005525];metal ion binding [GO:0046872];molybdenum cofactor guanylyltransferase activity [GO:0061603],cyclic pyranopterin monophosphate synthase activity [GO:0061799];cytoplasm [GO:0005737];GTP binding [GO:0005525];metal ion binding [GO:0046872];molybdenum cofactor guanylyltransferase activity [GO:0061603];Mo-molybdopterin cofactor biosynthetic process [GO:0006777],347,2,2,2,10.1,38.379,0,4.2656,159820000,8,0.058495125,0.0612407,0.07046882,0.0728219,0.07707816,0.06529272
Slr0904 protein,slr0904,Q55372,Q55372_SYNY3,,,,,509,4,4,4,14.1,55.133,0,12.217,198360000,37,0.0498133,0.05168574,0.06114428,0.04376644,0.05369994,0.06755776
Slr0907 protein,slr0907,Q55374,Q55374_SYNY3,,,,,1014,34,34,34,42.7,115.38,0,323.31,4406900000,481,0.5713592,0.6353842,0.6012372,0.575549,0.6415326,0.588672
Slr0909 protein,slr0909,Q55375,Q55375_SYNY3,,,,,450,13,13,13,40,52.495,0,323.31,3725000000,316,1.251676,1.345486,1.272694,1.352094,1.365984,1.1345062
Slr0912 protein,slr0912,Q55376,Q55376_SYNY3,,,,,258,6,6,6,32.9,29.351,0,13.706,595640000,50,0.3601018,0.4073906,0.3649814,0.3229616,0.3484918,0.2992978
Slr0914 protein,slr0914,Q55378,Q55378_SYNY3,,integral component of membrane [GO:0016021],,integral component of membrane [GO:0016021],598,4,4,4,10.2,69.458,0,8.5542,87251000,16,0.0578902,0.026459372,0.027024683,0.03037104,0.0351864,0.033915875
